id,neighborhood,NUMPOINTS
"94105",Rincon Hill,3240
"94107",South Beach,7066
"94108",Chinatown,3850
"94109",Nob Hill,10741
"94112",Ingleside,6681
"94114",Castro,4988
"94122",Sunset,4718
"94124",Bayview,8634
"94127",Portola,1213
"94132",Lake Merced,3234
"94131",Twin Peaks,2055
"94133",North Beach,6410
"94102",Tenderloin,16112
"94103",SoMa,23959
"94110",Mission,13554
"94111",Financial District,2956
"94115",Lower Pacific Heights,6177
"94116",Taraval,2688
"94117",Panhandle,5664
"94118",Inner Richmond,4097
"94121",Outer Richmond,3257
"94123",Marina,3656
"94134",Bayshore,3579
