cartodb_id,neighborho,created_at,updated_at,NUMPOINTS,population
"23",Pacific Heights,2014/12/11 00:00:00,2014/12/11 00:00:00,1826,21986
"29",Presidio Heights,2014/12/11 00:00:00,2014/12/11 00:00:00,714,41468
"31",Glen Park,2014/12/11 00:00:00,2014/12/11 00:00:00,573,29902
"15",Financial District,2014/12/11 00:00:00,2014/12/11 00:00:00,8776,48160
"17",Mission,2014/12/11 00:00:00,2014/12/11 00:00:00,15227,38704
"1",Seacliff,2014/12/11 00:00:00,2014/12/11 00:00:00,606,46890
"30",South of Market,2014/12/11 00:00:00,2014/12/11 00:00:00,22665,18246
"21",Bayview,2014/12/11 00:00:00,2014/12/11 00:00:00,8672,35363
"32",Potrero Hill,2014/12/11 00:00:00,2014/12/11 00:00:00,3439,13448
"5",Noe Valley,2014/12/11 00:00:00,2014/12/11 00:00:00,1261,19932
"6",Inner Sunset,2014/12/11 00:00:00,2014/12/11 00:00:00,1733,62131
"12",Crocker Amazon,2014/12/11 00:00:00,2014/12/11 00:00:00,688,11400
"13",Excelsior,2014/12/11 00:00:00,2014/12/11 00:00:00,2966,85166
"16",Ocean View,2014/12/11 00:00:00,2014/12/11 00:00:00,1979,5342
"34",Twin Peaks,2014/12/11 00:00:00,2014/12/11 00:00:00,589,2358
"35",Bernal Heights,2014/12/11 00:00:00,2014/12/11 00:00:00,2955,33410
"36",Chinatown,2014/12/11 00:00:00,2014/12/11 00:00:00,1746,10136
"2",Haight Ashbury,2014/12/11 00:00:00,2014/12/11 00:00:00,3620,44239
"19",Inner Richmond,2014/12/11 00:00:00,2014/12/11 00:00:00,3113,41468
"25",Nob Hill,2014/12/11 00:00:00,2014/12/11 00:00:00,2881,13617
"3",Outer Mission,2014/12/11 00:00:00,2014/12/11 00:00:00,2803,7593
"8",Diamond Heights,2014/12/11 00:00:00,2014/12/11 00:00:00,256,29902
"18",West of Twin Peaks,2014/12/11 00:00:00,2014/12/11 00:00:00,1524,48639
"10",Lakeshore,2014/12/11 00:00:00,2014/12/11 00:00:00,2654,31496
"28",Golden Gate Park,2014/12/11 00:00:00,2014/12/11 00:00:00,1909,29399
"4",Russian Hill,2014/12/11 00:00:00,2014/12/11 00:00:00,3106,16166
"9",Treasure Island/YBI,2014/12/11 00:00:00,2014/12/11 00:00:00,259,3064
"33",Castro/Upper Market,2014/12/11 00:00:00,2014/12/11 00:00:00,4306,21884
"11",Outer Richmond,2014/12/11 00:00:00,2014/12/11 00:00:00,2267,43795
"14",Parkside,2014/12/11 00:00:00,2014/12/11 00:00:00,1885,47823
"22",Visitacion Valley,2014/12/11 00:00:00,2014/12/11 00:00:00,2139,42471
"24",Presidio,2014/12/11 00:00:00,2014/12/11 00:00:00,19,3994
"26",Outer Sunset,2014/12/11 00:00:00,2014/12/11 00:00:00,2611,62131
"27",Western Addition,2014/12/11 00:00:00,2014/12/11 00:00:00,10426,10665
