id,neighborhood,NUMPOINTS,Population
"94105",Rincon Hill,3240,15723
"94107",South Beach,7066,32578
"94108",Chinatown,3850,13459
"94109",Nob Hill,10741,57827
"94112",Ingleside,6681, 75437
"94114",Castro,4988, 32488
"94122",Sunset,4718, 56871
"94124",Bayview,8634, 38174
"94127",Portola,1213, 19232
"94132",Lake Merced,3234, 28075
"94131",Twin Peaks,2055, 27607
"94133",North Beach,6410, 25276
"94102",Tenderloin,16112, 31581
"94103",SoMa,23959, 33183
"94110",Mission,13554, 70501
"94111",Financial District,2956, 3867
"94115",Lower Pacific Heights,6177, 35600
"94116",Taraval,2688, 42520
"94117",Panhandle,5664, 37613
"94118",Inner Richmond,4097,  39518
"94121",Outer Richmond,3257, 43381
"94123",Marina,3656, 25247
"94134",Bayshore,3579, 40541
