,Category,DayOfWeek,Count
0,ARSON,Friday,39
1,ARSON,Monday,46
2,ARSON,Saturday,46
3,ARSON,Sunday,29
4,ARSON,Thursday,46
5,ARSON,Tuesday,38
6,ARSON,Wednesday,42
7,ASSAULT,Friday,2082
8,ASSAULT,Monday,1865
9,ASSAULT,Saturday,2157
10,ASSAULT,Sunday,1966
11,ASSAULT,Thursday,1782
12,ASSAULT,Tuesday,1873
13,ASSAULT,Wednesday,1852
14,BAD CHECKS,Friday,4
15,BAD CHECKS,Monday,4
16,BAD CHECKS,Saturday,7
17,BAD CHECKS,Sunday,2
18,BAD CHECKS,Thursday,7
19,BAD CHECKS,Tuesday,7
20,BAD CHECKS,Wednesday,3
21,BRIBERY,Friday,11
22,BRIBERY,Monday,9
23,BRIBERY,Saturday,9
24,BRIBERY,Sunday,11
25,BRIBERY,Thursday,6
26,BRIBERY,Tuesday,9
27,BRIBERY,Wednesday,11
28,BURGLARY,Friday,947
29,BURGLARY,Monday,840
30,BURGLARY,Saturday,769
31,BURGLARY,Sunday,738
32,BURGLARY,Thursday,891
33,BURGLARY,Tuesday,804
34,BURGLARY,Wednesday,813
35,DISORDERLY CONDUCT,Friday,76
36,DISORDERLY CONDUCT,Monday,88
37,DISORDERLY CONDUCT,Saturday,81
38,DISORDERLY CONDUCT,Sunday,65
39,DISORDERLY CONDUCT,Thursday,92
40,DISORDERLY CONDUCT,Tuesday,130
41,DISORDERLY CONDUCT,Wednesday,126
42,DRIVING UNDER THE INFLUENCE,Friday,73
43,DRIVING UNDER THE INFLUENCE,Monday,37
44,DRIVING UNDER THE INFLUENCE,Saturday,75
45,DRIVING UNDER THE INFLUENCE,Sunday,70
46,DRIVING UNDER THE INFLUENCE,Thursday,50
47,DRIVING UNDER THE INFLUENCE,Tuesday,37
48,DRIVING UNDER THE INFLUENCE,Wednesday,36
49,DRUG/NARCOTIC,Friday,548
50,DRUG/NARCOTIC,Monday,608
51,DRUG/NARCOTIC,Saturday,558
52,DRUG/NARCOTIC,Sunday,551
53,DRUG/NARCOTIC,Thursday,644
54,DRUG/NARCOTIC,Tuesday,670
55,DRUG/NARCOTIC,Wednesday,664
56,DRUNKENNESS,Friday,85
57,DRUNKENNESS,Monday,45
58,DRUNKENNESS,Saturday,91
59,DRUNKENNESS,Sunday,84
60,DRUNKENNESS,Thursday,64
61,DRUNKENNESS,Tuesday,48
62,DRUNKENNESS,Wednesday,48
63,EMBEZZLEMENT,Friday,31
64,EMBEZZLEMENT,Monday,22
65,EMBEZZLEMENT,Saturday,24
66,EMBEZZLEMENT,Sunday,17
67,EMBEZZLEMENT,Thursday,26
68,EMBEZZLEMENT,Tuesday,28
69,EMBEZZLEMENT,Wednesday,20
70,EXTORTION,Friday,10
71,EXTORTION,Monday,14
72,EXTORTION,Saturday,7
73,EXTORTION,Sunday,5
74,EXTORTION,Thursday,10
75,EXTORTION,Tuesday,6
76,EXTORTION,Wednesday,8
77,FAMILY OFFENSES,Friday,11
78,FAMILY OFFENSES,Monday,4
79,FAMILY OFFENSES,Saturday,9
80,FAMILY OFFENSES,Sunday,11
81,FAMILY OFFENSES,Thursday,9
82,FAMILY OFFENSES,Tuesday,6
83,FAMILY OFFENSES,Wednesday,3
84,FORGERY/COUNTERFEITING,Friday,80
85,FORGERY/COUNTERFEITING,Monday,93
86,FORGERY/COUNTERFEITING,Saturday,66
87,FORGERY/COUNTERFEITING,Sunday,51
88,FORGERY/COUNTERFEITING,Thursday,118
89,FORGERY/COUNTERFEITING,Tuesday,108
90,FORGERY/COUNTERFEITING,Wednesday,103
91,FRAUD,Friday,407
92,FRAUD,Monday,401
93,FRAUD,Saturday,385
94,FRAUD,Sunday,314
95,FRAUD,Thursday,414
96,FRAUD,Tuesday,385
97,FRAUD,Wednesday,329
98,GAMBLING,Friday,2
99,GAMBLING,Saturday,1
100,GAMBLING,Sunday,2
101,GAMBLING,Thursday,2
102,GAMBLING,Tuesday,6
103,GAMBLING,Wednesday,7
104,KIDNAPPING,Friday,35
105,KIDNAPPING,Monday,36
106,KIDNAPPING,Saturday,44
107,KIDNAPPING,Sunday,46
108,KIDNAPPING,Thursday,33
109,KIDNAPPING,Tuesday,37
110,KIDNAPPING,Wednesday,26
111,LARCENY/THEFT,Friday,6477
112,LARCENY/THEFT,Monday,5503
113,LARCENY/THEFT,Saturday,6384
114,LARCENY/THEFT,Sunday,5531
115,LARCENY/THEFT,Thursday,5538
116,LARCENY/THEFT,Tuesday,5473
117,LARCENY/THEFT,Wednesday,5503
118,LIQUOR LAWS,Friday,22
119,LIQUOR LAWS,Monday,15
120,LIQUOR LAWS,Saturday,30
121,LIQUOR LAWS,Sunday,16
122,LIQUOR LAWS,Thursday,23
