,Category,Time,PdDistrict,Count,DayOfWeek
0,ARSON,00,BAYVIEW,2,Monday
1,ARSON,00,BAYVIEW,2,Saturday
2,ARSON,00,BAYVIEW,1,Tuesday
3,ARSON,00,BAYVIEW,1,Wednesday
4,ARSON,00,CENTRAL,1,Tuesday
5,ARSON,00,CENTRAL,1,Wednesday
6,ARSON,00,INGLESIDE,1,Saturday
7,ARSON,00,INGLESIDE,1,Sunday
8,ARSON,00,MISSION,1,Thursday
9,ARSON,00,NORTHERN,1,Friday
10,ARSON,00,NORTHERN,1,Sunday
11,ARSON,00,PARK,1,Thursday
12,ARSON,00,TENDERLOIN,1,Sunday
13,ARSON,01,BAYVIEW,1,Monday
14,ARSON,01,BAYVIEW,1,Sunday
15,ARSON,01,BAYVIEW,2,Thursday
16,ARSON,01,BAYVIEW,2,Tuesday
17,ARSON,01,CENTRAL,1,Friday
18,ARSON,01,INGLESIDE,1,Wednesday
19,ARSON,01,MISSION,1,Thursday
20,ARSON,01,MISSION,3,Tuesday
21,ARSON,01,NORTHERN,1,Monday
22,ARSON,01,NORTHERN,2,Sunday
23,ARSON,01,RICHMOND,1,Saturday
24,ARSON,01,SOUTHERN,1,Sunday
25,ARSON,01,TARAVAL,1,Monday
26,ARSON,01,TENDERLOIN,1,Wednesday
27,ARSON,02,BAYVIEW,1,Friday
28,ARSON,02,BAYVIEW,1,Monday
29,ARSON,02,BAYVIEW,4,Saturday
30,ARSON,02,BAYVIEW,2,Thursday
31,ARSON,02,BAYVIEW,1,Tuesday
32,ARSON,02,BAYVIEW,1,Wednesday
33,ARSON,02,CENTRAL,3,Tuesday
34,ARSON,02,INGLESIDE,1,Monday
35,ARSON,02,MISSION,2,Friday
36,ARSON,02,MISSION,1,Sunday
37,ARSON,02,MISSION,3,Tuesday
38,ARSON,02,NORTHERN,1,Thursday
39,ARSON,02,SOUTHERN,1,Monday
40,ARSON,02,SOUTHERN,1,Saturday
41,ARSON,02,SOUTHERN,1,Tuesday
42,ARSON,02,TARAVAL,1,Thursday
43,ARSON,02,TARAVAL,1,Wednesday
44,ARSON,03,BAYVIEW,2,Saturday
45,ARSON,03,BAYVIEW,1,Sunday
46,ARSON,03,BAYVIEW,1,Tuesday
47,ARSON,03,CENTRAL,2,Saturday
48,ARSON,03,CENTRAL,3,Thursday
49,ARSON,03,MISSION,2,Friday
50,ARSON,03,MISSION,2,Wednesday
51,ARSON,03,PARK,2,Saturday
52,ARSON,03,SOUTHERN,2,Monday
53,ARSON,03,TARAVAL,1,Wednesday
54,ARSON,04,BAYVIEW,1,Monday
55,ARSON,04,BAYVIEW,1,Saturday
56,ARSON,04,BAYVIEW,1,Thursday
57,ARSON,04,CENTRAL,1,Monday
58,ARSON,04,INGLESIDE,1,Wednesday
59,ARSON,04,MISSION,1,Friday
60,ARSON,04,MISSION,1,Saturday
61,ARSON,04,NORTHERN,1,Monday
62,ARSON,04,PARK,1,Thursday
63,ARSON,04,RICHMOND,1,Thursday
64,ARSON,04,RICHMOND,1,Tuesday
65,ARSON,04,SOUTHERN,2,Friday
66,ARSON,04,SOUTHERN,1,Saturday
67,ARSON,04,SOUTHERN,1,Thursday
68,ARSON,04,TARAVAL,1,Thursday
69,ARSON,04,TENDERLOIN,1,Sunday
70,ARSON,05,BAYVIEW,5,Saturday
71,ARSON,05,BAYVIEW,1,Thursday
72,ARSON,05,BAYVIEW,1,Tuesday
73,ARSON,05,CENTRAL,1,Friday
74,ARSON,05,CENTRAL,1,Wednesday
75,ARSON,05,MISSION,2,Monday
76,ARSON,05,MISSION,1,Tuesday
77,ARSON,05,MISSION,1,Wednesday
78,ARSON,05,NORTHERN,1,Friday
79,ARSON,05,NORTHERN,1,Tuesday
80,ARSON,05,PARK,1,Monday
81,ARSON,05,PARK,2,Thursday
82,ARSON,05,SOUTHERN,1,Wednesday
83,ARSON,05,TARAVAL,1,Tuesday
84,ARSON,06,CENTRAL,1,Saturday
85,ARSON,06,MISSION,2,Monday
86,ARSON,06,MISSION,1,Tuesday
87,ARSON,06,MISSION,1,Wednesday
88,ARSON,06,NORTHERN,1,Monday
89,ARSON,07,CENTRAL,1,Saturday
90,ARSON,07,MISSION,1,Saturday
91,ARSON,07,NORTHERN,3,Wednesday
92,ARSON,07,RICHMOND,1,Saturday
93,ARSON,07,RICHMOND,1,Sunday
94,ARSON,07,RICHMOND,1,Wednesday
95,ARSON,07,SOUTHERN,1,Saturday
96,ARSON,07,TARAVAL,1,Saturday
97,ARSON,07,TENDERLOIN,1,Thursday
98,ARSON,07,TENDERLOIN,2,Wednesday
99,ARSON,08,BAYVIEW,1,Friday
100,ARSON,08,BAYVIEW,1,Sunday
101,ARSON,08,BAYVIEW,1,Wednesday
102,ARSON,08,MISSION,1,Thursday
103,ARSON,08,MISSION,1,Tuesday
104,ARSON,08,NORTHERN,1,Saturday
105,ARSON,08,RICHMOND,1,Wednesday
106,ARSON,08,SOUTHERN,1,Monday
107,ARSON,08,SOUTHERN,1,Sunday
108,ARSON,08,SOUTHERN,1,Thursday
109,ARSON,08,TARAVAL,1,Wednesday
110,ARSON,09,BAYVIEW,1,Thursday
111,ARSON,09,CENTRAL,2,Monday
112,ARSON,09,INGLESIDE,1,Friday
113,ARSON,09,INGLESIDE,1,Wednesday
114,ARSON,09,MISSION,1,Friday
115,ARSON,09,MISSION,1,Saturday
116,ARSON,09,NORTHERN,1,Saturday
117,ARSON,09,SOUTHERN,1,Wednesday
118,ARSON,09,TENDERLOIN,1,Monday
119,ARSON,10,BAYVIEW,1,Friday
120,ARSON,10,PARK,1,Saturday
121,ARSON,10,TENDERLOIN,2,Thursday
122,ARSON,11,BAYVIEW,1,Monday
123,ARSON,11,NORTHERN,1,Monday
124,ARSON,11,NORTHERN,1,Tuesday
125,ARSON,11,SOUTHERN,1,Monday
126,ARSON,11,SOUTHERN,1,Wednesday
127,ARSON,12,INGLESIDE,1,Monday
128,ARSON,12,INGLESIDE,1,Saturday
129,ARSON,12,INGLESIDE,1,Wednesday
130,ARSON,12,MISSION,1,Saturday
131,ARSON,12,MISSION,1,Sunday
132,ARSON,12,SOUTHERN,1,Monday
133,ARSON,12,TARAVAL,1,Saturday
134,ARSON,12,TARAVAL,1,Tuesday
135,ARSON,13,BAYVIEW,1,Monday
136,ARSON,13,BAYVIEW,1,Thursday
137,ARSON,13,BAYVIEW,1,Wednesday
138,ARSON,13,MISSION,1,Thursday
139,ARSON,13,NORTHERN,1,Saturday
140,ARSON,13,SOUTHERN,2,Thursday
141,ARSON,13,SOUTHERN,1,Wednesday
142,ARSON,13,TARAVAL,1,Friday
143,ARSON,14,BAYVIEW,1,Sunday
144,ARSON,14,BAYVIEW,1,Wednesday
145,ARSON,14,CENTRAL,2,Monday
146,ARSON,14,CENTRAL,1,Saturday
147,ARSON,14,INGLESIDE,1,Thursday
148,ARSON,14,INGLESIDE,1,Tuesday
149,ARSON,14,MISSION,1,Monday
150,ARSON,14,MISSION,1,Sunday
151,ARSON,14,SOUTHERN,1,Thursday
152,ARSON,14,TARAVAL,1,Sunday
153,ARSON,15,BAYVIEW,2,Wednesday
154,ARSON,15,CENTRAL,1,Sunday
155,ARSON,15,CENTRAL,1,Thursday
156,ARSON,15,MISSION,1,Friday
157,ARSON,15,NORTHERN,1,Friday
158,ARSON,15,SOUTHERN,1,Tuesday
159,ARSON,15,TARAVAL,1,Wednesday
160,ARSON,16,BAYVIEW,1,Sunday
161,ARSON,16,BAYVIEW,1,Thursday
162,ARSON,16,BAYVIEW,1,Tuesday
163,ARSON,16,BAYVIEW,1,Wednesday
